"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R82","0402","168.608mil","583mil","168.608mil","583mil","168.608mil","602.685mil","T","0.00","20k"
"R70","0402","305.999mil","583mil","305.999mil","583mil","305.999mil","602.685mil","T","0.00","20k"
"R83","0402","134.26mil","583mil","134.26mil","583mil","134.26mil","602.685mil","T","0.00","5k1"
"R71","0402","271.652mil","583mil","271.652mil","583mil","271.652mil","602.685mil","T","0.00","5k1"
"R13","0402","-892mil","675mil","-892mil","675mil","-892mil","694.685mil","T","360.00","100k"
"R15","0402","-923mil","675mil","-923mil","675mil","-923mil","694.685mil","T","360.00","100k"
"R74","0402","-466mil","36mil","-466mil","36mil","-485.685mil","36mil","T","90.00","1k"
"R86","0402","-458mil","250mil","-458mil","250mil","-477.685mil","250mil","T","90.00","1k"
"L3","1812L","-386mil","-104mil","-386mil","-104mil","-386mil","-170.929mil","T","180.00","22uH"
"RU5","0603","-671mil","-235mil","-671mil","-235mil","-637.535mil","-235mil","B","90.00","DNS"
"RU6","0603","-796mil","-236mil","-796mil","-236mil","-829.465mil","-236mil","B","270.00","DNS"
"D13","SOT23-3","953mil","155mil","953mil","155mil","990.402mil","198.307mil","T","270.00","BAT750"
"D14","SOT23-3","-458mil","-291mil","-458mil","-291mil","-420.598mil","-247.693mil","T","270.00","BAT750"
"R90","0402","-755mil","49mil","-755mil","49mil","-735.315mil","49mil","T","270.00","330"
"D15","SOT23-3","-412mil","-434mil","-412mil","-434mil","-455.307mil","-396.598mil","T","360.00","BAT750"
"D17","SOT23-3","-825mil","-238mil","-825mil","-238mil","-868.307mil","-200.598mil","T","360.00","BAT750"
"D18","SMA","1753mil","398mil","1753mil","398mil","1753mil","315.323mil","T","0.00","SMA"
"D19","SMA","671mil","145mil","671mil","145mil","588.323mil","145mil","T","270.00","SMA"
"D20","Micro-SMP","111.811mil","-204mil","100mil","-204mil","74.409mil","-204mil","T","360.00","5V"
"D21","Micro-SMP","-50.189mil","-206mil","-62mil","-206mil","-87.591mil","-206mil","T","360.00","3V3"
"RU4A","0603","-1604mil","269mil","-1604mil","269mil","-1604mil","302.465mil","B","180.00","DNS"
"RU4B","0603","-1231mil","269mil","-1231mil","269mil","-1231mil","302.465mil","B","180.00","DNS"
"RU7","0603","-1061mil","788mil","-1061mil","788mil","-1061mil","821.465mil","B","180.00","DNS"
"RU8","0603","-1112mil","788mil","-1112mil","788mil","-1112mil","821.465mil","B","180.00","DNS"
"D12","SOT23-3","-7mil","204mil","-7mil","204mil","-50.307mil","241.402mil","T","0.00","BAT750"

